Year,Films,IMDb_Score,Genre
2010,0,0.0,ACTION
2010,0,0.0,ADULT
2010,0,0.0,ADVENTURE
2010,0,0.0,ANIMATION
2010,0,0.0,BIOGRAPHY
2010,0,0.0,COMEDY
2010,1,6.0,CRIME
2010,0,0.0,DOCUMENTARY
2010,0,0.0,DRAMA
2010,0,0.0,FAMILY
2010,0,0.0,FANTASY
2010,0,0.0,FILM-NOIR
2010,0,0.0,GAME-SHOW
2010,0,0.0,HISTORY
2010,1,6.0,HORROR
2010,0,0.0,MUSIC
2010,0,0.0,MUSICAL
2010,0,0.0,MYSTERY
2010,0,0.0,NEWS
2010,0,0.0,REALITY-TV
2010,0,0.0,ROMANCE
2010,0,0.0,SCI-FI
2010,0,0.0,SHORT
2010,0,0.0,SPORT
2010,0,0.0,TALK-SHOW
2010,1,6.0,THRILLER
2010,0,0.0,WAR
2010,0,0.0,WESTERN
2011,0,0.0,ACTION
2011,0,0.0,ADULT
2011,1,6.6,ADVENTURE
2011,1,6.6,ANIMATION
2011,0,0.0,BIOGRAPHY
2011,0,0.0,COMEDY
2011,0,0.0,CRIME
2011,0,0.0,DOCUMENTARY
2011,0,0.0,DRAMA
2011,1,6.6,FAMILY
2011,0,0.0,FANTASY
2011,0,0.0,FILM-NOIR
2011,0,0.0,GAME-SHOW
2011,0,0.0,HISTORY
2011,0,0.0,HORROR
2011,0,0.0,MUSIC
2011,0,0.0,MUSICAL
2011,0,0.0,MYSTERY
2011,0,0.0,NEWS
2011,1,4.2,REALITY-TV
2011,0,0.0,ROMANCE
2011,0,0.0,SCI-FI
2011,0,0.0,SHORT
2011,0,0.0,SPORT
2011,0,0.0,TALK-SHOW
2011,0,0.0,THRILLER
2011,0,0.0,WAR
2011,0,0.0,WESTERN
2012,1,8.0,ACTION
2012,0,0.0,ADULT
2012,1,8.0,ADVENTURE
2012,1,8.0,ANIMATION
2012,0,0.0,BIOGRAPHY
2012,1,8.0,COMEDY
2012,0,0.0,CRIME
2012,0,0.0,DOCUMENTARY
2012,0,0.0,DRAMA
2012,1,8.0,FAMILY
2012,1,8.0,FANTASY
2012,0,0.0,FILM-NOIR
2012,0,0.0,GAME-SHOW
2012,0,0.0,HISTORY
2012,0,0.0,HORROR
2012,0,0.0,MUSIC
2012,0,0.0,MUSICAL
2012,0,0.0,MYSTERY
2012,0,0.0,NEWS
2012,0,0.0,REALITY-TV
2012,0,0.0,ROMANCE
2012,0,0.0,SCI-FI
2012,0,0.0,SHORT
2012,0,0.0,SPORT
2012,0,0.0,TALK-SHOW
2012,0,0.0,THRILLER
2012,0,0.0,WAR
2012,0,0.0,WESTERN
2013,1,6.6,ACTION
2013,0,0.0,ADULT
2013,1,8.0,ADVENTURE
2013,3,6.6000000000000005,ANIMATION
2013,0,0.0,BIOGRAPHY
2013,4,7.074999999999999,COMEDY
2013,1,8.1,CRIME
2013,1,5.6,DOCUMENTARY
2013,5,7.4,DRAMA
2013,2,7.3,FAMILY
2013,1,8.0,FANTASY
2013,0,0.0,FILM-NOIR
2013,0,0.0,GAME-SHOW
2013,0,0.0,HISTORY
2013,1,7.1,HORROR
2013,1,8.0,MUSIC
2013,0,0.0,MUSICAL
2013,1,7.1,MYSTERY
2013,0,0.0,NEWS
2013,0,0.0,REALITY-TV
2013,1,8.0,ROMANCE
2013,1,6.6,SCI-FI
2013,0,0.0,SHORT
2013,1,6.6,SPORT
2013,0,0.0,TALK-SHOW
2013,2,6.1,THRILLER
2013,0,0.0,WAR
2013,0,0.0,WESTERN
2014,0,0.0,ACTION
2014,0,0.0,ADULT
2014,3,6.566666666666666,ADVENTURE
2014,3,6.8,ANIMATION
2014,0,0.0,BIOGRAPHY
2014,4,6.625,COMEDY
2014,0,0.0,CRIME
2014,0,0.0,DOCUMENTARY
2014,4,7.725,DRAMA
2014,2,5.85,FAMILY
2014,0,0.0,FANTASY
2014,0,0.0,FILM-NOIR
2014,0,0.0,GAME-SHOW
2014,1,8.0,HISTORY
2014,0,0.0,HORROR
2014,1,4.5,MUSIC
2014,0,0.0,MUSICAL
2014,0,0.0,MYSTERY
2014,0,0.0,NEWS
2014,0,0.0,REALITY-TV
2014,2,7.1,ROMANCE
2014,0,0.0,SCI-FI
2014,1,4.5,SHORT
2014,0,0.0,SPORT
2014,0,0.0,TALK-SHOW
2014,0,0.0,THRILLER
2014,0,0.0,WAR
2014,0,0.0,WESTERN
2015,2,6.85,ACTION
2015,0,0.0,ADULT
2015,4,6.625,ADVENTURE
2015,6,6.883333333333333,ANIMATION
2015,1,8.8,BIOGRAPHY
2015,10,6.9799999999999995,COMEDY
2015,2,8.7,CRIME
2015,1,8.6,DOCUMENTARY
2015,6,8.266666666666667,DRAMA
2015,3,6.566666666666666,FAMILY
2015,2,6.75,FANTASY
2015,0,0.0,FILM-NOIR
2015,0,0.0,GAME-SHOW
2015,0,0.0,HISTORY
2015,1,4.6,HORROR
2015,0,0.0,MUSIC
2015,0,0.0,MUSICAL
2015,1,8.3,MYSTERY
2015,0,0.0,NEWS
2015,0,0.0,REALITY-TV
2015,1,6.5,ROMANCE
2015,1,8.3,SCI-FI
2015,2,6.5,SHORT
2015,0,0.0,SPORT
2015,0,0.0,TALK-SHOW
2015,3,8.366666666666667,THRILLER
2015,0,0.0,WAR
2015,1,6.7,WESTERN
2016,6,6.6000000000000005,ACTION
2016,0,0.0,ADULT
2016,5,6.88,ADVENTURE
2016,10,6.9,ANIMATION
2016,1,8.7,BIOGRAPHY
2016,15,7.093333333333334,COMEDY
2016,0,0.0,CRIME
